lead_id,lead_source,job_title,company_size,engagement_score,cost,treatment,converted
1,Outbound,VP,200,33,284.5671404811867,1,0
2,Inbound,Manager,50,90,440.6723618231961,0,0
3,Event A,Manager,5000,16,160.37848951490054,0,0
4,Outbound,VP,5000,42,120.80329686613669,1,1
5,Outbound,Manager,5000,58,122.18004739853244,1,0
6,Inbound,VP,50,50,200.30399543535705,1,1
7,Event A,Director,200,53,157.41051408545786,1,0
8,Event A,Manager,200,23,468.5406577293824,1,0
9,Outbound,Director,50,24,97.62534222,0,0
10,Webinar B,VP,200,70,364.5458321178144,1,1
11,Outbound,Director,50,51,135.14969290325266,1,0
12,Outbound,Director,200,69,446.7367097466576,0,0
13,Outbound,VP,1000,87,482.59187968320833,0,0
14,Outbound,Director,1000,32,259.4615039464926,1,0
15,Inbound,Director,5000,48,445.58216610265924,0,0
16,Event A,VP,1000,28,52.31532683962165,1,0
17,Inbound,Director,1000,62,418.97611283364506,0,0
18,Inbound,VP,1000,21,152.88132268621558,0,1
19,Inbound,Director,50,25,458.9155891712155,1,1
20,Outbound,VP,1000,27,50.50405016604927,0,0
21,Webinar B,VP,1000,84,300.2817807678906,0,0
22,Event A,Director,5000,48,390.4861117032206,0,1
23,Webinar B,Director,1000,70,166.4097488140586,0,1
24,Inbound,Director,1000,80,136.90978906428188,0,0
25,Inbound,Manager,200,83,87.84420101,0,1
26,Webinar B,Manager,5000,48,196.89510942648184,1,1
27,Webinar B,Manager,5000,19,301.92994053897326,1,1
28,Webinar B,VP,5000,85,102.12973555111594,0,1
29,Inbound,Director,5000,91,219.51291289405944,1,1
30,Inbound,VP,5000,62,54.08258209372623,1,1
31,Event A,Manager,5000,60,418.4057392249288,1,1
32,Event A,Director,50,48,107.80192314193611,0,0
33,Inbound,VP,1000,70,177.5043267195117,1,1
34,Webinar B,Director,5000,0,58.29247343219786,0,0
35,Webinar B,VP,1000,95,244.50835275163053,1,1
36,Event A,Director,1000,12,428.05467623354843,0,1
37,Inbound,Manager,50,93,226.46804515033847,0,0
38,Event A,Manager,5000,86,130.77379554072502,1,1
39,Event A,Director,200,50,389.1644753227336,1,0
40,Outbound,VP,50,55,404.9631418418349,0,0
41,Outbound,Manager,200,82,128.18906388840506,1,0
42,Outbound,Manager,1000,61,396.8843488434454,1,1
43,Webinar B,Manager,1000,31,476.28404971535207,1,1
44,Inbound,Director,50,29,124.86991411952255,0,0
45,Inbound,Director,50,28,396.9429316,0,1
46,Inbound,VP,200,48,368.85740207118323,1,0
47,Inbound,VP,5000,44,263.10824979578985,1,0
48,Outbound,VP,200,92,76.06420725145924,1,0
49,Webinar B,Director,50,29,83.61248799,0,1
50,Webinar B,Director,200,15,433.5865966393915,0,0
51,Outbound,VP,50,39,495.56676773779117,1,0
52,Webinar B,VP,200,18,354.2235157340395,1,1
53,Outbound,Director,50,17,250.68123815464466,1,1
54,Inbound,VP,50,0,341.4081395308584,1,0
55,Outbound,Manager,50,77,317.4781366528454,1,1
56,Inbound,Director,5000,46,222.62551718252982,1,1
57,Inbound,VP,200,65,79.53176505830582,0,1
58,Event A,Director,200,91,419.6808263333484,1,0
59,Outbound,Manager,200,93,217.32508815742608,0,0
60,Event A,Director,50,37,418.45353951069217,1,0
61,Outbound,Director,200,50,163.6289374,1,1
62,Outbound,Director,200,62,50.46326593053503,0,1
63,Event A,Director,50,3,121.52222747454043,0,0
64,Event A,Manager,1000,0,260.8427375,0,0
65,Outbound,Director,50,7,474.93663573102344,0,1
66,Webinar B,Director,200,28,95.98712886217353,1,0
67,Inbound,VP,50,54,434.3943985077047,0,0
68,Event A,Director,1000,2,287.16084329533794,1,0
69,Inbound,VP,50,31,421.66434460995345,0,0
